qid	link	text
qa_135	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14184252919	抗がん剤治療したら副作用はどのくらい続くんですか？    抗がん剤治療中で、副作
qa_137	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11215523271	タキサン系って乳癌、肺癌以外にも使われますか？しびれはどのくらいの割合ででますか
qa_138	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14224920064	乳がんの抗がん剤治療中です 先日１回目の抗がん剤を投与しました 今3日目です で
qa_139	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10202040640	私は50代女性で先週11日より乳癌の為抗がん剤治療を初めました。副作用として2～
qa_142	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10227908535	抗がん剤の副作用がきつくて 人格がおかしくなりそうです。 投与してから、６日にな
qa_146	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10219778730	食欲不振の症状は、抗がん剤治療をし始めてどれくらいで出ますか？すぐ出ますか？  
qa_150	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11221359791	抗がん剤治療にあたり、口内炎の事で教えていただきたいです。 乳ガンを患っていて抗
qa_153	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12204658977	一昨年 癌治療の為の放射線治療後から口内炎が治らなくて、口内炎の周りがシワシワに
qa_157	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11202767586	60歳母が乳がん手術後の化学療法中です。1/25に1クール目の抗がん剤点滴を投与
qa_240	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13196796283	母が2年半くらい前に乳癌末期と診断され、これまで抗がん剤治療を頑張ってきました。
qa_249	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12187978527	乳がんのホルモン剤、ノルバデックス【タオスミン】を服用した事のある方、教えてくだ
qa_296	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13185657838	乳癌ホルモン療法 1月月末にエキセメスタン錠服用開始！ 副作用は、 今はありませ
qa_297	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11226474121	更年期障害について   昨年、乳がんが見つかり左側のみ全摘出しています  抗がん
qa_298	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11202309491	お薬が原因で太りやすくなっているとしたら、食事や運動では体重は減らないのでしょう
qa_300	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14188646844	生理痛がひどいことを相談したところルナベルを処方されました。 調べてみると体重増
qa_301	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12202604162	、抗がん剤終わって、12.25日にジーラスタしてから、一か月、顔と足が凄くむくむ
qa_315	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13191216913	こんにちは！  質問なのですが、通常の更年期障害と乳癌術後治療のホルモン療法によ
qa_320	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10224706915	乳がん歴ありの40代後半の主婦です。最近ＡＤＨＤと診断されました。リュープリンの
qa_335	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10198685540	ピル 妊娠について質問させてください。 ピルの服用を始めました。避妊のためです。
qa_338	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11212489146	乳がん治療中の大量出血について。   昨年、乳がんの手術を受けホルモン療法をして
qa_343	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12190362862	生理不順のため低用量ピルを飲んできます。 もし飲むのをやめたら 少なからず生理不
qa_345	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10206808685	ノアルテンを飲み始めました。  月経の量がすごく多いので婦人科に相談したところノ
qa_355	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12204515142	プラノバールについてです。 プラノバールが中用量ピルなのは知っているんですけど、
qa_362	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12199711552	低用量ピルを飲んで、突然出血量が 少なくなったりすることはありますか？  マーベ
qa_365	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10197253590	乳がんのオペが数ヶ月前に終了しました。 来週の１０日から 放射線治療が1、5ヶ月
qa_378	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14202158539	乳がんの治療でタモキシフェンを服用して 3カ月になります。 生理も止まってしまい
qa_407	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11220814501	母が乳がんで、放射線治療をやっていました。  今は終わって薬のみです。  放射線
qa_414	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13199161253	乳がんのオペが数ヶ月前に終わり放射線治療を 25回 先週で無事に終了しました。
qa_417	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11197771496	乳がんのオペが終わり 放射線治療をしています。 放射線治療はまだ、6日目ですが
qa_420	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13211255833	乳がん手術後の放射線治療   乳がん手術後の放射線治療の副作用は治療開始してから
qa_421	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10223660580	岡江久美子さんが、新形コロナウィルスで亡くなったニュースを聞いて驚いたのですが、
qa_424	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13223771163	先日、残念ながら岡江久美子さんが新型コロナウィルスで亡くなられてしまいましたが 
qa_427	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10191403230	乳ガン温存手術後の放射線治療が始まります。  今日、治療計画や副作用について先生
qa_432	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11204371141	私は乳ガンステージ３aです。今抗がん剤治療４クール目なのですが、今回初めて唾液が
qa_471	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11184622776	タモキシフェン始まったのが、2016年4月から始まりました。今までは、大丈夫でし
qa_473	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13213380588	糖尿病の方、メトホルミン増量で下痢になった方はいます？2ヶ月続いてます。乳がん再
qa_533	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14198139409	乳がんでフルベストラント(500mg)を両足に打っています。4年ほどになりますが
qa_545	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13223179133	私は29歳の男性です。段々と髪の毛が薄くなり現在フィンペシアとミノキシジルを服用
